MeshName,EnergyPrimalIntegrability_F1,CalculatedValue_F1,EnergyPrimalIntegrability_F2,CalculatedValue_F2
pentagonal-prism,1.5496951182790879e-06,3.4595668508192944e-06,5.290666820237663e-06,0.001410541390057963
decagonal-prism,3.131971591314775e-06,7.722402666111365e-06,1.2833427237868126e-05,0.0008959538320320006
decagonal-antiprism,3.521158837320687e-06,7.1996848734175436e-06,8.608242415574743e-06,0.0010218639209359183
octagonal-antiprism,3.651851394879275e-06,8.963567030999842e-06,1.7249812859246442e-05,0.0013029163292567513
triangular-prism,5.203472674362953e-06,1.0834028171360457e-05,1.5017390898881422e-05,0.0013166259470932167
octagonal-prism,5.250386612596774e-06,1.1217673654347365e-05,3.192344406369429e-05,0.0014130457322278666
elongated-triangular-bipyramid,5.342057325018854e-06,8.52251558714327e-06,3.7113215286634875e-05,0.001075973254010373
elongated-pentagonal-pyramid,5.723375749165375e-06,8.843412051949027e-06,4.685629097220525e-05,0.0030092845950803184
triangular-bipyramid,5.871538831018272e-06,1.2765705279635374e-05,2.288484859077131e-05,0.0014936784619325994
tetrahedron,6.071498128407388e-06,1.3688193058855227e-05,9.422475856174411e-06,0.001160510556704025
bilunabirotunda,6.172651353764221e-06,9.392130992181436e-06,2.6404700316270554e-05,0.0019130920863154781
elongated-pentagonal-bipyramid,6.981360849422759e-06,1.0107312302602534e-05,0.0001001817602287981,0.00485789635709557
elongated-triangular-pyramid,7.288507872171924e-06,1.8260950947903018e-05,2.0170943420627862e-05,0.001380390838150914
augmented-hexagonal-prism,7.660795890672065e-06,1.5499217759572542e-05,1.8384557422099868e-05,0.0019536242744868262
augmented-triangular-prism,7.738945426214053e-06,1.4752921021703359e-05,1.650450655205242e-05,0.001989807278386564
augmented-pentagonal-prism,8.358199216489363e-06,1.0321117400473198e-05,1.8292512009067577e-05,0.0017736879892103622
hexagonal-antiprism,8.660725326751614e-06,1.3575808026772507e-05,4.252394454017894e-05,0.002288502085627259
pentagonal-orthobicupola,9.643839113885344e-06,1.172095247294634e-05,3.675836904122263e-05,0.0016277885224795878
parabiaugmented-hexagonal-prism,9.895164201121583e-06,1.103796069553546e-05,1.4283048758783801e-05,0.0015640127418546943
elongated-pentagonal-cupola,1.0433100642861476e-05,1.511049346228736e-05,4.298318671227125e-05,0.002361323827814486
gyroelongated-pentagonal-cupola,1.0448758961715885e-05,1.3489439338316736e-05,3.5577713943737295e-05,0.0025526180319831024
tridiminished-icosahedron,1.0882853895184424e-05,1.974718163418594e-05,4.105756801149936e-05,0.002891462212681105
pentagonal-antiprism,1.0990576972101596e-05,1.4963487562330514e-05,8.068627399490182e-05,0.0027869884401754245
augmented-tridiminished-icosahedron,1.1372129655941672e-05,1.550417582011182e-05,3.31939363758919e-05,0.002274974345550254
pentagonal-gyrobicupola,1.174665437410445e-05,1.235647437432382e-05,6.596692359631931e-05,0.002456807579443272
pentagonal-rotunda,1.1943590908142024e-05,1.4168186236554324e-05,6.291799800124898e-05,0.0023660839806872347
gyroelongated-square-cupola,1.2108968691271296e-05,1.4773973517506467e-05,8.504299950329234e-05,0.003291300761025311
elongated-square-pyramid,1.2501762271202368e-05,1.2416070910208446e-05,3.83153294536001e-05,0.001707479630696803
snub-disphenoid,1.2991223858701334e-05,1.9976475186773014e-05,5.160360806373396e-05,0.0030574771434303603
