MeshName,EnergyPrimalIntegrability,CalculatedValue
augmented-hexagonal-prism,7.660795890672065e-06,1.5499217759572542e-05
augmented-pentagonal-prism,8.358199216489363e-06,1.0321117400473198e-05
augmented-triangular-prism,7.738945426214053e-06,1.4752921021703359e-05
augmented-tridiminished-icosahedron,1.1372129655941672e-05,1.550417582011182e-05
augmented-truncated-cube,2.3587201088109166e-05,1.654508979616836e-05
augmented-truncated-dodecahedron,2.5181406640312668e-05,2.4808426010701823e-05
augmented-truncated-tetrahedron,2.2732288405896037e-05,3.278514316884948e-05
biaugmented-pentagonal-prism,1.5355954623680853e-05,1.4555549373972111e-05
biaugmented-triangular-prism,1.4800760821047787e-05,1.955616865186561e-05
biaugmented-truncated-cube,2.1216644298453868e-05,1.7926712354628346e-05
bigyrate-diminished-rhombicosidodecahedron,2.1960220847809167e-05,2.064150392175106e-05
bilunabirotunda,6.172651353764221e-06,9.392130992181436e-06
cube,2.619013822253882e-09,4.998041094575006e-09
decagonal-antiprism,3.521158837320687e-06,7.1996848734175436e-06
decagonal-prism,3.131971591314775e-06,7.722402666111365e-06
diminished-rhombicosidodecahedron,1.748651260730066e-05,1.9868401185052678e-05
disphenocingulum,2.243558995212069e-05,2.4776835022043926e-05
dodecahedron,1.3028998087343831e-05,2.1534967574933567e-05
elongated-pentagonal-bipyramid,6.981360849422759e-06,1.0107312302602534e-05
elongated-pentagonal-cupola,1.0433100642861476e-05,1.511049346228736e-05
elongated-pentagonal-gyrocupolarotunda,1.8908683077160237e-05,1.852654648536517e-05
elongated-pentagonal-orthobicupola,1.547587977799255e-05,1.8373368779346712e-05
elongated-pentagonal-orthobirotunda,3.072824074586893e-05,2.6969818654633987e-05
elongated-pentagonal-orthocupolarotunda,2.2250060986047374e-05,1.886959672644223e-05
elongated-pentagonal-pyramid,5.723375749165375e-06,8.843412051949027e-06
elongated-pentagonal-rotunda,1.4568410572130759e-05,1.615960639320232e-05
elongated-square-cupola,1.7470936538087957e-05,1.780811804465124e-05
elongated-square-pyramid,1.2501762271202368e-05,1.2416070910208446e-05
elongated-triangular-bipyramid,5.342057325018854e-06,8.52251558714327e-06
elongated-triangular-cupola,1.3742215123333347e-05,1.8345945706021375e-05
elongated-triangular-pyramid,7.288507872171924e-06,1.8260950947903018e-05
gyrate-bidiminished-rhombicosidodecahedron,1.9624742240293456e-05,2.0694348564011854e-05
gyroelongated-pentagonal-cupola,1.0448758961715885e-05,1.3489439338316736e-05
gyroelongated-pentagonal-pyramid,2.1050052235215746e-05,1.6990022111688967e-05
gyroelongated-square-bicupola,2.8058175204487706e-05,1.9858640854084313e-05
gyroelongated-square-bipyramid,2.758440151400194e-05,1.8920928990810136e-05
gyroelongated-square-cupola,1.2108968691271296e-05,1.4773973517506467e-05
gyroelongated-square-pyramid,2.3478909541107416e-05,2.4483647820779777e-05
gyroelongated-triangular-bicupola,1.9917805587549247e-05,2.0681641281918763e-05
gyroelongated-triangular-cupola,1.770468184099515e-05,2.142668164680883e-05
hexagonal-antiprism,8.660725326751614e-06,1.3575808026772507e-05
icosidodecahedron,3.400855233443433e-05,2.293242256157522e-05
metabiaugmented-hexagonal-prism,1.3959032488082296e-05,2.031148516632363e-05
metabidiminished-icosahedron,2.794799721079187e-05,4.0215142107835455e-05
metabigyrate-rhombicosidodecahedron,3.138267355839825e-05,2.2275512064298037e-05
metagyrate-diminished-rhombicosidodecahedron,1.8562992940324302e-05,1.9262535577529344e-05
octagonal-prism,5.250386612596774e-06,1.1217673654347365e-05
octahedron,1.668830868178953e-05,2.00852009758836e-05
parabiaugmented-dodecahedron,2.189116251252628e-05,2.1951955084549832e-05
parabiaugmented-hexagonal-prism,9.895164201121583e-06,1.103796069553546e-05
parabiaugmented-truncated-dodecahedron,2.7983656220104528e-05,2.5756520055468533e-05
parabigyrate-rhombicosidodecahedron,2.443631421121943e-05,2.0167818470375986e-05
paragyrate-diminished-rhombicosidodecahedron,1.7047914195677182e-05,1.829021976101986e-05
pentagonal-antiprism,1.0990576972101596e-05,1.4963487562330514e-05
pentagonal-bipyramid,1.8255786733759306e-05,2.3105294973386564e-05
pentagonal-cupola,1.655891460163998e-05,1.1622556880101043e-05
pentagonal-gyrobicupola,1.174665437410445e-05,1.235647437432382e-05
pentagonal-gyrocupolarotunda,1.5470026088115713e-05,1.661361780074286e-05
pentagonal-orthocupolarotunda,1.673831127633878e-05,1.781295604715935e-05
pentagonal-prism,1.5496951182790879e-06,3.4595668508192944e-06
pentagonal-pyramid,2.8260981597448886e-05,1.547690146790416e-05
