MeshName,EnergyPrimalIntegrability,CalculatedValue
augmented-dodecahedron,1.9633302076621997e-05,1.819890709063107e-05
augmented-hexagonal-prism,5.789475561852093e-06,1.0039102411900166e-05
cuboctahedron,2.0099491028425655e-05,2.204926638430605e-05
gyroelongated-pentagonal-bicupola,2.0373864154403054e-05,1.990627725774888e-05
octagonal-prism,6.155241754111922e-06,1.0540377899855579e-05
triaugmented-dodecahedron,2.6240475266559756e-05,2.2202693691361994e-05
tridiminished-rhombicosidodecahedron,1.7640279352768877e-05,2.132554159752105e-05
elongated-pentagonal-orthocupolarotunda,2.256523049839314e-05,1.9175921893123457e-05
icosidodecahedron,3.5104389251919984e-05,2.047900823618695e-05
elongated-pentagonal-orthobicupola,1.4618153168900784e-05,1.7673966930404226e-05
gyroelongated-pentagonal-cupolarotunda,1.7113259314172806e-05,1.6920489945016955e-05
augmented-sphenocorona,2.0338901423079722e-05,2.105452344920574e-05
elongated-pentagonal-gyrobicupola,1.9469144750016826e-05,1.9258250787671762e-05
elongated-square-bipyramid,2.0271568842789878e-05,1.5176467014260295e-05
elongated-square-gyrobicupola,2.7237161808121915e-05,2.0687160678031786e-05
elongated-triangular-pyramid,4.8805108263848505e-06,1.072567398744385e-05
gyrobifastigium,5.80006207112305e-06,1.3313695991198098e-05
gyroelongated-pentagonal-birotunda,3.000211687127281e-05,2.6263212450555618e-05
hexagonal-prism,3.3897095238529523e-06,6.948079269611268e-06
icosahedron,3.330454433865929e-05,1.8699729617986506e-05
metabidiminished-icosahedron,2.34851559253279e-05,3.176847880266244e-05
metabidiminished-rhombicosidodecahedron,2.1920440240317085e-05,2.2942015135839097e-05
pentagonal-bipyramid,1.2159822877826198e-05,1.3999555756488658e-05
rhombicosidodecahedron,3.06116153278506e-05,2.137573613270845e-05
square-antiprism,8.04082321503324e-06,1.5447995382919287e-05
truncated-cube,1.139910686697572e-05,9.717983922575446e-06
truncated-icosidodecahedron,3.125377969934648e-05,2.737575166949427e-05
elongated-triangular-gyrobicupola,1.9030669979428848e-05,2.06971536833667e-05
gyroelongated-pentagonal-rotunda,1.3063907249863104e-05,1.716684768685027e-05
metabiaugmented-dodecahedron,2.0079462176943908e-05,2.1212795293823594e-05
triaugmented-hexagonal-prism,2.344276509286545e-05,2.1864503613048012e-05
elongated-triangular-orthobicupola,1.8604362238232916e-05,1.9275720934189538e-05
